tagItemSetC001Name|Gardistenkleidung
tagItemSetC001NameB|Kleidung des Friedensbewahrers
tagItemSetC002Name|Forschergewand
tagItemSetC003Name|Maivens Heiligtum
tagItemSetC003NameB|Maivens Allerheiligstes
tagItemSetC004Name|Ruhm des Blutschnitters
tagItemSetC004NameB|Gemetzel des Blutschnitters
tagItemSetC005Name|Gerechtigkeit des Marodeurs
tagItemSetC005NameB|Urteil des Marodeurs
tagItemSetC006Name|Ornat des Herolds
tagItemSetC006NameB|Erkennungszeichen des Herolds
tagItemSetC007Name|Der Apotheker
tagItemSetC007NameB|Der Wahrsager
tagItemSetC008Name|Verderben
tagItemSetC008NameB|Absolution
tagItemSetC009Name|Das blinde Auge
tagItemSetC010Name|Zeichen des Scharfschützen
tagItemSetC011Name|Unheiliger Bund
tagItemSetC012Name|Königliche Ausgelassenheit
tagItemSetC013Name|Eidbrecher
tagItemSetC013NameB|Flamme des Eidbrechers
tagItemSetC014Name|Verzierungen der Tapferkeit
tagItemSetC015Name|Blutbad
tagItemSetC016Name|Das Vorbild des Arcanums
tagItemSetC017Name|Morgenwache
tagItemSetC018Name|Alkamos' Zorn
tagItemSetC018NameB|Alkamos' Wut
tagItemSetC019Name|Miasma
tagItemSetC019NameB|Tödliches Miasma
tagItemSetC020Name|Schwefel
tagItemSetC020NameB|Ewig brennender Schwefel
tagItemSetC021Name|Das morgenländische Versprechen
tagItemSetC022Name|Wildrufer
tagItemSetC022NameB|Ruf des Wildrufers
tagItemSetC023Name|Der Prätorianer
tagItemSetC024Name|Der Flammenwächter
tagItemSetC025Name|Callidors Ornat
tagItemSetC026Name|Myrmidonenrüstung
tagItemSetC027Name|Mogdrogens Gelassenheit
tagItemSetC028Name|Der Arkansturm
tagItemSetC029Name|Elementares Gleichgewicht
tagItemSetD001Name|Rüstung des Richters
tagItemSetD002Name|Das heilige Gleichgewicht
tagItemSetD003Name|Ornat des Bestienrufers
tagItemSetD004Name|Licht des Morgengrauens
tagItemSetD005Name|Der Vorbote
tagItemSetD006Name|Siegel des Richters
tagItemSetD007Name|Gewand des Dämonentöters
tagItemSetD008Name|Zwillinge des Büchsenmachers
tagItemSetD009Name|Wildblutvorhut
tagItemSetD010Name|Der Hellseher
tagItemSetD011Name|Elemente des Beschwörers
tagItemSetD012Name|Markovians Festung
tagItemSetD013Name|Ulzuins Avatar
tagItemSetD014Name|Dreegs Schleier
tagItemSetD015Name|Das Todeszeichen
