tagItemSetC001Name|Atuendo del Centinela
tagItemSetC001NameB|Atuendo del pacificador
tagItemSetC002Name|Prendas del Explorador
tagItemSetC003Name|Santuario de Maiven
tagItemSetC003NameB|Santuario de Maiven
tagItemSetC004Name|Gloria del Sanguinario
tagItemSetC004NameB|Carnicería del Segador Sangriento
tagItemSetC005Name|Justicia del Merodeador
tagItemSetC005NameB|Juicio del Merodeador
tagItemSetC006Name|Ropa de Gala del Heraldo
tagItemSetC006NameB|Marcas del Heraldo
tagItemSetC007Name|El Boticario
tagItemSetC007NameB|El Adivino
tagItemSetC008Name|Perdición
tagItemSetC008NameB|Absolución
tagItemSetC009Name|El Ojo Ciego
tagItemSetC010Name|Marca del Francotirador
tagItemSetC011Name|Pacto del Profano
tagItemSetC012Name|Exuberancia Real
tagItemSetC013Name|Perjurador
tagItemSetC013NameB|Llama del Rompejuramentos
tagItemSetC014Name|Adornos de Valentía
tagItemSetC015Name|Matanza
tagItemSetC016Name|El Modelo de Arcanum
tagItemSetC017Name|Guardia del Alba
tagItemSetC018Name|Ira de Alkamos
tagItemSetC018NameB|Rabia de Alkamos
tagItemSetC019Name|Miasma
tagItemSetC019NameB|Miasma Mortal
tagItemSetC020Name|Azufre
tagItemSetC020NameB|Azufre de Llama Perpetua
tagItemSetC021Name|La Promesa del Este
tagItemSetC022Name|Invocador Salvaje
tagItemSetC022NameB|Llamada del Clamasalvaje
tagItemSetC023Name|El Pretoriano
tagItemSetC024Name|Guardián de la Llama
tagItemSetC025Name|Ropa de Gala de Callidor
tagItemSetC026Name|Armadura Mirmidona
tagItemSetC027Name|Tranquilidad de Mogdrogen
tagItemSetC028Name|La Tormenta Arcana
tagItemSetC029Name|Equilibrio Elemental
tagItemSetD001Name|Armadura Justicar
tagItemSetD002Name|El Sagrado Equilibro
tagItemSetD003Name|Ropa de Gala del Invocador de las Bestias
tagItemSetD004Name|Luz del Rompeamaneceres
tagItemSetD005Name|El Heraldo
tagItemSetD006Name|Sellos del Justiciero
tagItemSetD007Name|Atuendos del Asesino de Demonios
tagItemSetD008Name|Gemelos de Barrelsmith
tagItemSetD009Name|Vanguardia de Sangre Salvaje
tagItemSetD010Name|El Clarividente
tagItemSetD011Name|Elementos del Invocador
tagItemSetD012Name|Fortaleza de Markovian
tagItemSetD013Name|Avatar de Ulzuin
tagItemSetD014Name|Sudario de Dreeg
tagItemSetD015Name|La Marca de la Muerte
tagItemSetD016Name|Unidad de Iskandra
tagItemSetD017Name|Tormenta de Ultos
tagItemSetD018Name|Ascensión de Trozan
tagItemSetD019Name|Traición de Valdun
tagItemSetD020Name|Pacto del Hojaveneno
tagItemSetD021Name|Pacto de la Llama Negra
tagItemSetD022Name|Defensor de la Luz
tagItemSetD023Name|El Caballero Infernal
tagItemSetD024Name|Ira de Agrivix
tagItemSetD025Name|Armadura batallante
tagItemSetD026Name|Frenesí Sanguinario
tagItemSetD027Name|Sellos del Ejecutor
tagGDX1ItemSetC018CName|Miseria de Alkamos
tagGDX1ItemSetC101Name|Corruptor de Espíritus
tagGDX1ItemSetC101BName|Corruptor de Almas
tagGDX1ItemSetC102Name|El Guardián Plateado
tagGDX1ItemSetC102BName|El Centinela de Plata
tagGDX1ItemSetC103Name|Profeta Resplandeciente
tagGDX1ItemSetC104Name|El Señor de los Magos
tagGDX1ItemSetC105Name|Caminante Terrorífico
tagGDX1ItemSetC106Name|Ropas de gala luminari
tagItemSetC009BName|La Mirada Invisible
tagItemSetC010BName|Deber del Francotirador
tagItemSetC011BName|Profanador de la Alianza
tagItemSetC016BName|El Dechado de Panetti
tagItemSetC017BName|Escudo del Amanecer
tagItemSetC021BName|El Juramento del Este
tagItemSetC024BName|Guardián de la Llama
tagItemSetC025BName|Defensa de Callidor
tagItemSetC026BName|Bastión de Mirmidón
tagItemSetC027BName|Paz de Mogdrogen
tagItemSetC028BName|Tormenta Arcana
tagItemSetC029BName|Armonía Elemental
tagGDX1ItemSetD101Name|Armamento de Krieg
tagGDX1ItemSetD102Name|Vengador de la Naturaleza
tagGDX1ItemSetD103Name|Pastor de Almas Perdidas
