tagItemSetC001Name|Uniforme della Guardia
tagItemSetC001NameB|Armatura della Guardia
tagItemSetC002Name|Abiti dell'Esploratore
tagItemSetC003Name|Santuario di Maiven
tagItemSetC003NameB|Sanctorum di Maiven
tagItemSetC004Name|Gloria del Mietitore di Sangue
tagItemSetC004NameB|Massacro del Mietitore di Sangue
tagItemSetC005Name|Giustizia del Predone
tagItemSetC005NameB|Giudizio del Predone
tagItemSetC006Name|Abiti Cerimoniali dell'Araldo
tagItemSetC006NameB|Insegne dell'Araldo
tagItemSetC007Name|Lo Speziale
tagItemSetC007NameB|L'Indovino
tagItemSetC008Name|Perdizione
tagItemSetC008NameB|Assoluzione
tagItemSetC009Name|L'Occhio che non Vede
tagItemSetC010Name|Simbolo del Franco Tiratore
tagItemSetC011Name|Empia Congrega
tagItemSetC012Name|Esuberanza Regale
tagItemSetC013Name|Spezza Giuramento
tagItemSetC013NameB|Fiamma dello Spezza Giuramento
tagItemSetC014Name|Ornamenti del Valore
tagItemSetC015Name|Massacro
tagItemSetC016Name|Il Campione dell'Arcano
tagItemSetC017Name|Guardia dell'Alba
tagItemSetC018Name|Collera di Alkamos
tagItemSetC018NameB|Rabbia di Alkamos
tagItemSetC019Name|Miasma
tagItemSetC019NameB|Miasma Mortale
tagItemSetC020Name|Zolfo Fiammeggiante
tagItemSetC020NameB|Zolfo Bruciante
tagItemSetC021Name|La Promessa Orientale
tagItemSetC022Name|Maestro delle Lande
tagItemSetC022NameB|Vocazione del Maestro delle Lande
tagItemSetC023Name|Il Pretoriano
tagItemSetC024Name|Custode della Fiamma
tagItemSetC025Name|Insegne di Callidor
tagItemSetC026Name|Armatura del Mirmidone
tagItemSetC027Name|Tranquillità di Mogdrogen
tagItemSetC028Name|La Tempesta Arcana
tagItemSetC029Name|Bilancio Elementale
tagItemSetD001Name|Armatura del Conciliatore
tagItemSetD002Name|La Sacra Bilancia
tagItemSetD003Name|Abiti Cerimoniali dell'Evocatore di Bestie
tagItemSetD004Name|Luce dello Spezza Alba
tagItemSetD005Name|L'Araldo
tagItemSetD006Name|Sigilli del Giudice
tagItemSetD007Name|Abiti del Cacciatore di Demoni
tagItemSetD008Name|Gemelle dell'Armiere
tagItemSetD009Name|Avanguardia Sangue Selvaggio
tagItemSetD010Name|Il Chiaroveggente
tagItemSetD011Name|Elementi dell'Invocatore
tagItemSetD012Name|Fortezza di Markovian
tagItemSetD013Name|Avatar di Ulzuin
tagItemSetD014Name|Velo di Dreeg
tagItemSetD015Name|Il Marchio della Morte
tagItemSetD016Name|Unità di Iskandra
tagItemSetD017Name|Tempesta di Ultos
tagItemSetD018Name|Ascensione di Trozan
tagItemSetD019Name|Tradimento di Valdun
tagItemSetD020Name|Il Patto delle Lame Avvelenate
tagItemSetD021Name|Patto della Nera Fiamma
tagItemSetD022Name|Difensore della Luce
tagItemSetD023Name|Il Cavaliere Infernale
tagItemSetD024Name|Collera di Agrivix
tagItemSetD025Name|Reliquie della Prima Guerra
