tagItemSetC001Name|ガーズマンの衣装
tagItemSetC001NameB|ピースキーパーの衣装
tagItemSetC002Name|探検家の衣服
tagItemSetC003Name|メイヴェンの聖域
tagItemSetC003NameB|メイヴェンの聖所
tagItemSetC004Name|ブラッドリーパーの栄光
tagItemSetC004NameB|ブラッドリーパーの殺戮
tagItemSetC005Name|略奪者の正義
tagItemSetC005NameB|略奪者の審判
tagItemSetC006Name|伝令官の礼装
tagItemSetC006NameB|伝令官の印
tagItemSetC007Name|薬剤師
tagItemSetC007NameB|占い師
tagItemSetC008Name|破滅
tagItemSetC008NameB|赦免
tagItemSetC009Name|虚ろな目
tagItemSetC010Name|鋭敏な射手の印
tagItemSetC011Name|不浄の誓約
tagItemSetC012Name|王の楽しい熱中
tagItemSetC013Name|誓い破り
tagItemSetC013NameB|誓い破りの炎
tagItemSetC014Name|剛勇の装飾
tagItemSetC015Name|殺戮
tagItemSetC016Name|アルケイナムの模範
tagItemSetC017Name|ドーンガード
tagItemSetC018Name|アルカモスの憤怒
tagItemSetC018NameB|アルカモスの激怒
tagItemSetC019Name|ミアズマ
tagItemSetC019NameB|死の瘴気
tagItemSetC020Name|業火
tagItemSetC020NameB|常燃の業火
tagItemSetC021Name|ザ イースタン プレッジ
tagItemSetC022Name|ワイルドコーラー
tagItemSetC022NameB|ワイルドコーラーの呼び声
tagItemSetC023Name|近衛兵
tagItemSetC024Name|炎の番人
tagItemSetC025Name|キャリドアの礼装
tagItemSetC026Name|ミュルミドン アーマー
tagItemSetC027Name|モグドロゲンの静穏
tagItemSetC028Name|ザ アルケイン ストーム
tagItemSetC029Name|エレメンタル バランス
tagItemSetD001Name|大司法官の防具
tagItemSetD002Name|聖なるバランス
tagItemSetD003Name|ビーストコーラーの礼装
tagItemSetD004Name|暁光
tagItemSetD005Name|ザ ハービンジャー
tagItemSetD006Name|裁判官の印環
tagItemSetD007Name|デーモンスレイヤーの服装
tagItemSetD008Name|銃身職工の双銃
tagItemSetD009Name|ワイルドブラッド ヴァンガード
tagItemSetD010Name|千里眼
tagItemSetD011Name|インヴォーカーのエレメント
tagItemSetD012Name|マーコヴィアンの砦
tagItemSetD013Name|ウルズインのアバター
tagItemSetD014Name|ドリーグの覆い
tagItemSetD015Name|ザ デスマーク
