tagItemSetC001Name|근위병의 정복
tagItemSetC001NameB|치안유지군의 정복
tagItemSetC002Name|탐험가용 의복
tagItemSetC003Name|메이븐의 안식처
tagItemSetC003NameB|메이븐의 성역
tagItemSetC004Name|피수확자의 영광
tagItemSetC004NameB|피수확자의 학살
tagItemSetC005Name|습격자의 심판
tagItemSetC005NameB|습격자의 판결
tagItemSetC006Name|전령관의 예복
tagItemSetC006NameB|전령관의 상징들
tagItemSetC007Name|약제사
tagItemSetC007NameB|치료사
tagItemSetC008Name|징벌
tagItemSetC008NameB|단죄
tagItemSetC009Name|초점없는 눈동자
tagItemSetC010Name|샤프슈터의 상징
tagItemSetC011Name|부정한 계약의 증표
tagItemSetC012Name|왕가의 부
tagItemSetC013Name|서약위반자
tagItemSetC013NameB|서약위반자의 화염
tagItemSetC014Name|용기의 장식
tagItemSetC015Name|학살
tagItemSetC016Name|비전의 권위자
tagItemSetC017Name|새벽수호자
tagItemSetC018Name|알카모스의 격노
tagItemSetC018NameB|알카모스의 맹위
tagItemSetC019Name|독기
tagItemSetC019NameB|죽음의 독기
tagItemSetC020Name|유황
tagItemSetC020NameB|꺼지지 않는 유황불
tagItemSetC021Name|동방의 징표
tagItemSetC022Name|야성호출자
tagItemSetC022NameB|야성호출자의 부름
tagItemSetC023Name|황제친위대
tagItemSetC024Name|화염보관자
tagItemSetC025Name|칼리도르의 정복
tagItemSetC026Name|미르미돈 갑옷
tagItemSetC027Name|모그드로젠의 차분함
tagItemSetC028Name|비전 마법 폭풍
tagItemSetC029Name|근원적 균형
tagItemSetD001Name|심판자의 갑옷
tagItemSetD002Name|성스러운 균형
tagItemSetD003Name|야수소환사의 정복
tagItemSetD004Name|새벽인도자의 빛
tagItemSetD005Name|하빈저
tagItemSetD006Name|법관의 인장
tagItemSetD007Name|악마사냥꾼의 복장
tagItemSetD008Name|총포제작자의 쌍둥이
tagItemSetD009Name|야만족 선봉대
tagItemSetD010Name|투시자
tagItemSetD011Name|인보커의 본령
