tagItemSetC001Name|Ubiór Strażnika
tagItemSetC001NameB|Szaty Rozjemcy
tagItemSetC002Name|Wyposażenie Odkrywcy
tagItemSetC003Name|Sanktuarium Maiveny
tagItemSetC003NameB|Święte Miejsce Maiveny
tagItemSetC004Name|Chwała Krwawego Żniwiarza
tagItemSetC004NameB|Masakra Krwawego Żniwiarza
tagItemSetC005Name|Sprawiedliwość Banity
tagItemSetC005NameB|Osąd Banity
tagItemSetC006Name|Insygnia Herolda
tagItemSetC006NameB|Znaki Herolda
tagItemSetC007Name|Aptekarz
tagItemSetC007NameB|Uśmierzacz Bólu
tagItemSetC008Name|Potępienie
tagItemSetC008NameB|Rozgrzeszenie
tagItemSetC009Name|Niewidzące Oko
tagItemSetC010Name|Znak Strzelca Wyborowego
tagItemSetC011Name|Nikczemne Przymierze
tagItemSetC012Name|Królewska Obfitość
tagItemSetC013Name|Złamana Przysięga
tagItemSetC013NameB|Płomień Złamanej Przysięgi
tagItemSetC014Name|Przebranie Wielkiej Odwagi
tagItemSetC015Name|Rzeź
tagItemSetC016Name|Wzór Sztuk Magicznych
tagItemSetC017Name|Strażnik Świtu
tagItemSetC018Name|Gniew Alkamosa
tagItemSetC018NameB|Furia Alkamosa
tagItemSetC019Name|Wyziew
tagItemSetC019NameB|Zabójczy Wyziew
tagItemSetC020Name|Ogień Piekielny
tagItemSetC020NameB|Wieczniepłonący Ogień Piekielny
tagItemSetC021Name|Przysięga Wschodu
tagItemSetC022Name|Przyzywacz Dziczy
tagItemSetC022NameB|Wołanie Przyzywacza Dziczy
tagItemSetC023Name|Pretorianin
tagItemSetC024Name|Władca Płomieni
tagItemSetC025Name|Uroczysty Strój Callidora
tagItemSetC026Name|Zbroja Myrmidona
tagItemSetC027Name|Opanowanie Mogdrogena
tagItemSetC028Name|Ezoteryczna Burza
tagItemSetC029Name|Elementarna Równowaga
tagItemSetD001Name|Pancerz Justycjariusza
tagItemSetD002Name|Wyświęcona Równowaga
tagItemSetD003Name|Uroczysty Strój Wołającego Bestie
tagItemSetD004Name|Światło Brzasku
tagItemSetD005Name|Zwiastun
tagItemSetD006Name|Sygnety Judykatury
tagItemSetD007Name|Strój Łowcy Demonów
tagItemSetD008Name|Bliźniaki Rusznikarza
tagItemSetD009Name|Dzika Krew
tagItemSetD010Name|Jasnowidz
tagItemSetD011Name|Przybory Zaklinacza
tagItemSetD012Name|Forteca Markoviana
tagItemSetD013Name|Avatar Ulzuina
tagItemSetD014Name|Całun Dreega
tagItemSetD015Name|Znak Śmierci
tagItemSetD016Name|Jedność Iskandry
tagItemSetD017Name|Burza Ultosa
tagItemSetD018Name|Wyświęcenie Trozana
tagItemSetD019Name|Zdrada Valduna
tagItemSetD020Name|Pakt Zatrutego Ostrza
tagItemSetD021Name|Przymierze Czarnego Płomienia
tagItemSetD022Name|Obrońca Światła
tagItemSetD023Name|Piekielny Rycerz
tagItemSetD024Name|Gniew Agrivixa
tagItemSetD025Name|Zbroja Zrodzona w Boju
tagItemSetD026Name|Szał Łaknącego Krwi
tagItemSetD027Name|Pieczęcie Kata
tagGDX1ItemSetC018CName|Męka Alkamosa
tagGDX1ItemSetC101Name|Koruptor Duchów
tagGDX1ItemSetC101BName|Koruptor Dusz
tagGDX1ItemSetC102Name|Srebrny Wartownik
tagGDX1ItemSetC102BName|Srebrny Strażnik
tagGDX1ItemSetC103Name|Proroczy Przebłysk
tagGDX1ItemSetC104Name|Mag Władca
