tagItemSetC001Name|Гвардейские доспехи
tagItemSetC001NameB|Доспехи миротворца
tagItemSetC002Name|Одежды искателя
tagItemSetC003Name|Святилище Майвен
tagItemSetC003NameB|Рака Майвен
tagItemSetC004Name|Слава кровавого жнеца
tagItemSetC004NameB|Кровавая бойня кровавого жнеца
tagItemSetC005Name|Правосудие мародёра
tagItemSetC005NameB|Приговор мародёра
tagItemSetC006Name|Регалии герольда
tagItemSetC006NameB|Отличие герольда
tagItemSetC007Name|Врачеватель
tagItemSetC007NameB|Знахарь
tagItemSetC008Name|Погибель
tagItemSetC008NameB|Отпущение грехов
tagItemSetC009Name|Невидящий глаз
tagItemSetC010Name|Метка стрелка
tagItemSetC011Name|Нечестивый завет
tagItemSetC012Name|Королевские регалии
tagItemSetC013Name|Клятвопреступник
tagItemSetC013NameB|Пламя клятвопреступника
tagItemSetC014Name|Отличия доблести
tagItemSetC015Name|Бойня
tagItemSetC016Name|Мистический Парагон
tagItemSetC017Name|Стража рассвета
tagItemSetC018Name|Гнев Алкамоса
tagItemSetC018NameB|Ярость Алкамоса
tagItemSetC019Name|Зловоние
tagItemSetC019NameB|Смертоносное зловоние
tagItemSetC020Name|Сера
tagItemSetC020NameB|Неугасимая сера
tagItemSetC021Name|Восточный обет
tagItemSetC022Name|Волхв
tagItemSetC022NameB|Зов волхва
tagItemSetC023Name|Преторианец
tagItemSetC024Name|Пламенный владыка
tagItemSetC025Name|Регалии Каллидора
tagItemSetC026Name|Доспехи мирмидона
tagItemSetC027Name|Умиротворение Могдрогена
tagItemSetC028Name|Мистический шторм
tagItemSetC029Name|Стихийный баланс
tagItemSetD001Name|Броня вершителя правосудия
tagItemSetD002Name|Священный баланс
tagItemSetD003Name|Регалии укротителя
tagItemSetD004Name|Разгоняющий тьму
tagItemSetD005Name|Предвестник
tagItemSetD006Name|Судьбоносные печати
tagItemSetD007Name|Наряд демонобойца
tagItemSetD008Name|Стволы-близнецы
tagItemSetD009Name|Дикарский авангард
tagItemSetD010Name|Ясновидец
tagItemSetD011Name|Элементы Покорителя
tagItemSetD012Name|Крепость Марковиана
tagItemSetD013Name|Воплощение Ульзуина
tagItemSetD014Name|Покров Дрига
tagItemSetD015Name|Чистильщик
tagItemSetD016Name|Единство Искандры
tagItemSetD017Name|Буря Ультоса
tagItemSetD018Name|Вознесение Трозана
