tagItemSetC001Name|帝国卫兵的戎装
tagItemSetC001NameB|和平守护者的戎装
tagItemSetC002Name|探险家的服饰
tagItemSetC003Name|麦文的圣装
tagItemSetC003NameB|麦文的圣衣
tagItemSetC004Name|鲜血收割者的荣耀
tagItemSetC004NameB|鲜血收割者的屠杀
tagItemSetC005Name|掠夺者的正义
tagItemSetC005NameB|掠夺者的审判
tagItemSetC006Name|使者的华服
tagItemSetC006NameB|使者的标记
tagItemSetC007Name|药剂师
tagItemSetC007NameB|预言者
tagItemSetC008Name|破灭
tagItemSetC008NameB|赦免
tagItemSetC009Name|盲眼
tagItemSetC010Name|神射手的徽记
tagItemSetC011Name|不洁圣契
tagItemSetC012Name|皇家的奢华
tagItemSetC013Name|毁誓者
tagItemSetC013NameB|毁誓者的烈焰
tagItemSetC014Name|无畏之饰
tagItemSetC015Name|屠杀
tagItemSetC016Name|奥术典范
tagItemSetC017Name|黎明守卫
tagItemSetC018Name|阿卡莫斯之怒
tagItemSetC018NameB|阿卡莫斯之怒
tagItemSetC019Name|瘴气
tagItemSetC019NameB|致命瘴气
tagItemSetC020Name|硫磺
tagItemSetC020NameB|永燃硫磺
tagItemSetC021Name|东方誓言
tagItemSetC022Name|自然召唤者
tagItemSetC022NameB|自然召唤者的呼唤
tagItemSetC023Name|禁卫军
tagItemSetC024Name|持火者
tagItemSetC025Name|卡里多的华服
tagItemSetC026Name|密尔弥冬的装甲
tagItemSetC027Name|莫格卓根的平静
tagItemSetC028Name|奥术风暴
tagItemSetC029Name|元素平衡
tagItemSetD001Name|审判者装甲
tagItemSetD002Name|神圣平衡
tagItemSetD003Name|野兽召唤者的华服
tagItemSetD004Name|破晓者之光
tagItemSetD005Name|先驱者
tagItemSetD006Name|执法官的印玺
tagItemSetD007Name|屠魔者的装束
tagItemSetD008Name|枪械师的双枪
tagItemSetD009Name|野性之血先锋
tagItemSetD010Name|洞察者
tagItemSetD011Name|召魔者的元素
tagItemSetD012Name|马尔科夫的堡垒
tagItemSetD013Name|奥祖因的化身
tagItemSetD014Name|德里格的罩衣
tagItemSetD015Name|死亡印记
tagItemSetD016Name|伊斯坎德拉的团结
tagItemSetD017Name|尤尔托斯的风暴
tagItemSetD018Name|特洛赞的升华
tagItemSetD019Name|瓦尔登的背叛
tagItemSetD020Name|毒刃契约
tagItemSetD021Name|黑炎圣约
tagItemSetD022Name|光明卫士
tagItemSetD023Name|炼狱骑士
tagItemSetD024Name|阿格维克斯之怒
tagItemSetD025Name|战争降生战甲
tagItemSetD026Name|血怒者的狂乱
tagItemSetD027Name|行刑者的魔印
tagGDX1ItemSetC018CName|阿卡莫斯的痛苦
tagGDX1ItemSetC101Name|精神腐蚀者
tagGDX1ItemSetC101BName|灵魂腐蚀者
tagGDX1ItemSetC102Name|银色守护者
tagGDX1ItemSetC102BName|银色哨兵
tagGDX1ItemSetC103Name|烈火先知
tagGDX1ItemSetC104Name|法师领主
tagGDX1ItemSetC105Name|恐惧行者
tagGDX1ItemSetC106Name|光明盛装
tagItemSetC009BName|盲眼
tagItemSetC010BName|神射手的徽记
tagItemSetC011BName|不洁圣契
tagItemSetC016BName|帕内蒂的完美主义
tagItemSetC017BName|黎明守卫
tagItemSetC021BName|东方之誓
tagItemSetC024BName|持火者
tagItemSetC025BName|卡里多的徽记
tagItemSetC026BName|密尔弥冬的装甲
tagItemSetC027BName|莫格卓根的平静
tagItemSetC028BName|奥术风暴
tagItemSetC029BName|元素平衡
tagGDX1ItemSetD101Name|克里格的武装
tagGDX1ItemSetD102Name|自然复仇者
tagGDX1ItemSetD103Name|迷失灵魂的牧羊人
tagGDX1ItemSetD104Name|奥克塔维尔斯的狂热
tagGDX1ItemSetD105Name|大灾变
tagGDX1ItemSetD106Name|岩石守卫
tagGDX1ItemSetD107Name|军团之要塞
tagGDX1ItemSetD108Name|戈尔巴的愤怒
tagGDX1ItemSetD109Name|黑焰装束
tagGDX1ItemSetD110Name|法术天灾
tagGDX1ItemSetD111Name|法师杀手
tagGDX1ItemSetD112Name|瓦尔古尔的饥渴
tagGDX1ItemSetD113Name|符文束缚者
tagGDX1ItemSetD114Name|尤若布鲁克的伪装
tagGDX1ItemSetD115Name|阿拉加斯特的杰作
tagGDX1ItemSetD116Name|达加隆的毁灭
tagGDX1ItemSetD117Name|死亡守卫
tagGDX1ItemSetD118Name|预言者的视界
tagGDX1ItemSetD119Name|黑暗之王的馈赠
tagGDX1ItemSetD120Name|贝尔戈斯安的屠戮
tagGDX1ItemSetD121Name|拉达干的愚蠢
tagGDX1ItemSetD122Name|寒舌
tagGDX1ItemSetD123Name|血骑士
tagItemSetD001BName|审判者装甲
tagItemSetD002BName|神圣平衡
tagItemSetD003BName|野兽召唤者的华服
tagItemSetD004BName|破晓者之光
tagItemSetD005BName|先驱者
