//record|level|quality
records/items/enchants/a00000a_enchant.dbr|40|Magical
records/items/enchants/a0000a_enchant.dbr|40|Magical
records/items/enchants/a000a_enchant.dbr|40|Magical
records/items/enchants/a00_blank.dbr|30|Magical
records/items/enchants/a01a_enchant.dbr|40|Magical
records/items/enchants/a02a_enchant.dbr|40|Magical
records/items/enchants/a03a_enchant.dbr|40|Magical
records/items/enchants/a04a_enchant.dbr|40|Magical
records/items/enchants/a05a_enchant.dbr|40|Magical
records/items/enchants/a06a_enchant.dbr|40|Magical
records/items/enchants/a07a_enchant.dbr|40|Magical
records/items/enchants/a08a_enchant.dbr|40|Magical
records/items/enchants/a09a_enchant.dbr|40|Magical
records/items/enchants/a101a_enchant.dbr|65|Magical
records/items/enchants/a102a_enchant.dbr|65|Magical
records/items/enchants/a103a_enchant.dbr|65|Magical
records/items/enchants/a104a_enchant.dbr|65|Magical
records/items/enchants/a105a_enchant.dbr|65|Magical
records/items/enchants/a106a_enchant.dbr|65|Magical
records/items/enchants/a107a_enchant.dbr|65|Magical
records/items/enchants/a108a_enchant.dbr|65|Magical
records/items/enchants/a109a_enchant.dbr|65|Magical
records/items/enchants/a10a_enchant.dbr|40|Magical
records/items/enchants/a110a_enchant.dbr|65|Magical
records/items/enchants/a111a_enchant.dbr|65|Magical
records/items/enchants/a112a_enchant.dbr|65|Magical
records/items/enchants/a113a_enchant.dbr|65|Magical
records/items/enchants/a114a_enchant.dbr|65|Magical
records/items/enchants/a115a_enchant.dbr|65|Magical
records/items/enchants/a116a_enchant.dbr|65|Magical
records/items/enchants/a117a_enchant.dbr|65|Magical
records/items/enchants/a118a_enchant.dbr|65|Magical
records/items/enchants/a119a_enchant.dbr|65|Magical
records/items/enchants/a11a_enchant.dbr|40|Magical
records/items/enchants/a120a_enchant.dbr|65|Magical
records/items/enchants/a121a_enchant.dbr|65|Magical
records/items/enchants/a122a_enchant.dbr|65|Magical
records/items/enchants/a123a_enchant.dbr|65|Magical
records/items/enchants/a124a_enchant.dbr|65|Magical
records/items/enchants/a125a_enchant.dbr|65|Magical
records/items/enchants/a126a_enchant.dbr|65|Magical
records/items/enchants/a127a_enchant.dbr|65|Magical
records/items/enchants/a128a_enchant.dbr|65|Magical
records/items/enchants/a129a_enchant.dbr|65|Magical
records/items/enchants/a12a_enchant.dbr|40|Magical
records/items/enchants/a130a_enchant.dbr|65|Magical
records/items/enchants/a131a_enchant.dbr|65|Magical
records/items/enchants/a132a_enchant.dbr|65|Magical
records/items/enchants/a133a_enchant.dbr|65|Magical
records/items/enchants/a134a_enchant.dbr|65|Magical
records/items/enchants/a135a_enchant.dbr|65|Magical
records/items/enchants/a136a_enchant.dbr|65|Magical
records/items/enchants/a13a_enchant.dbr|40|Magical
records/items/enchants/a14a_enchant.dbr|40|Magical
records/items/enchants/a15a_enchant.dbr|40|Magical
records/items/enchants/a16a_enchant.dbr|40|Magical
records/items/enchants/a17a_enchant.dbr|40|Magical
records/items/enchants/a18a_enchant.dbr|40|Magical
records/items/enchants/a19a_enchant.dbr|40|Magical
records/items/enchants/a201a_enchant.dbr|65|Magical
records/items/enchants/a202a_enchant.dbr|65|Magical
records/items/enchants/a203a_enchant.dbr|65|Magical
records/items/enchants/a204a_enchant.dbr|65|Magical
records/items/enchants/a205a_enchant.dbr|65|Magical
records/items/enchants/a206a_enchant.dbr|65|Magical
records/items/enchants/a207a_enchant.dbr|65|Magical
records/items/enchants/a208a_enchant.dbr|65|Magical
records/items/enchants/a209a_enchant.dbr|65|Magical
records/items/enchants/a20a_enchant.dbr|40|Magical
records/items/enchants/a210a_enchant.dbr|65|Magical
records/items/enchants/a211a_enchant.dbr|65|Magical
records/items/enchants/a212a_enchant.dbr|65|Magical
records/items/enchants/a213a_enchant.dbr|65|Magical
records/items/enchants/a214a_enchant.dbr|65|Magical
