//record|width|height|level|class|quality|bitmap|setrecord
records/creatures/npcs/npcgear/npc_child_girl_hair01.dbr|2|2|0|ArmorProtective_Head|Common|a01_head001.png|
records/creatures/npcs/npcgear/npc_child_girl_hair02.dbr|2|2|0|ArmorProtective_Head|Common|a01_head001.png|
records/creatures/npcs/npcgear/npc_child_girl_hair03.dbr|2|2|0|ArmorProtective_Head|Common|a01_head001.png|
records/creatures/npcs/npcgear/npc_child_girl_hat01.dbr|2|2|0|ArmorProtective_Head|Common|a01_head001.png|
records/creatures/npcs/npcgear/npc_feet_blacklegion01.dbr|2|2|0|ArmorProtective_Feet|Common|a03_feet01.png|
records/creatures/npcs/npcgear/npc_feet_blacklegion02.dbr|2|2|0|ArmorProtective_Feet|Common|a03_feet01.png|
records/creatures/npcs/npcgear/npc_feet_exile01.dbr|2|2|0|ArmorProtective_Feet|Common|a05_feet01.png|
records/creatures/npcs/npcgear/npc_feet_necromancer01.dbr|2|2|0|ArmorProtective_Feet|Common|a03_feet01.png|
records/creatures/npcs/npcgear/npc_feet_necromancer02.dbr|2|2|0|ArmorProtective_Feet|Common|a03_feet01.png|
records/creatures/npcs/npcgear/npc_focus_blacklegion01.dbr|1|3|62|WeaponArmor_Offhand|Rare|a05_focus02.png|
records/creatures/npcs/npcgear/npc_hands_blacklegion01.dbr|2|2|0|ArmorProtective_Hands|Common|a05_hands01.png|
records/creatures/npcs/npcgear/npc_hands_blacklegion02.dbr|2|2|0|ArmorProtective_Hands|Common|a05_hands01.png|
records/creatures/npcs/npcgear/npc_hands_exile01.dbr|2|2|0|ArmorProtective_Hands|Common|a05_hands01.png|
records/creatures/npcs/npcgear/npc_head_blacklegion01.dbr|2|2|0|ArmorProtective_Head|Common|a08_head005.png|
records/creatures/npcs/npcgear/npc_head_blacklegion02.dbr|2|2|0|ArmorProtective_Head|Common|a08_head005.png|
records/creatures/npcs/npcgear/npc_head_blacklegion03.dbr|2|2|0|ArmorProtective_Head|Common|a08_head005.png|
