//record|setname|setitems
records/items/lootsets/itemset_c001.dbr|tagItemSetC001Name|records/items/gearhead/c006_head.dbr;records/items/geartorso/c006_torso.dbr;records/items/gearshoulders/c004_shoulder.dbr;records/items/gearweapons/blunt1h/c004_blunt.dbr;records/items/gearweapons/shields/c003_shield.dbr
records/items/lootsets/itemset_c001b.dbr|tagItemSetC001NameB|records/items/gearhead/c041_head.dbr;records/items/geartorso/c041_torso.dbr;records/items/gearshoulders/c027_shoulder.dbr;records/items/gearweapons/blunt1h/c025_blunt.dbr;records/items/gearweapons/shields/c028_shield.dbr
records/items/lootsets/itemset_c002.dbr|tagItemSetC002Name|records/items/gearhead/c007_head.dbr;records/items/geartorso/c007_torso.dbr;records/items/gearlegs/c004_legs.dbr;records/items/gearfeet/c005_feet.dbr
records/items/lootsets/itemset_c003.dbr|tagItemSetC003Name|records/items/gearhead/c008_head.dbr;records/items/gearweapons/focus/c003_focus.dbr;records/items/gearaccessories/necklaces/c004_necklace.dbr
records/items/lootsets/itemset_c003b.dbr|tagItemSetC003NameB|records/items/gearhead/c043_head.dbr;records/items/gearweapons/focus/c029_focus.dbr;records/items/gearaccessories/necklaces/c063_necklace.dbr
records/items/lootsets/itemset_c004.dbr|tagItemSetC004Name|records/items/gearhead/c009_head.dbr;records/items/geartorso/c008_torso.dbr;records/items/gearaccessories/medals/c004_medal.dbr;records/items/gearweapons/swords1h/c006_sword.dbr;records/items/gearweapons/axe1h/c004_axe.dbr
records/items/lootsets/itemset_c004b.dbr|tagItemSetC004NameB|records/items/gearhead/c044_head.dbr;records/items/geartorso/c043_torso.dbr;records/items/gearaccessories/medals/c038_medal.dbr;records/items/gearweapons/swords1h/c027_sword.dbr;records/items/gearweapons/axe1h/c025_axe.dbr
records/items/lootsets/itemset_c005.dbr|tagItemSetC005Name|records/items/gearaccessories/waist/c004_waist.dbr;records/items/gearhands/c005_hands.dbr;records/items/gearweapons/guns1h/c004_gun1h.dbr;records/items/gearweapons/guns1h/c005_gun1h.dbr
records/items/lootsets/itemset_c005b.dbr|tagItemSetC005NameB|records/items/gearaccessories/waist/c034_waist.dbr;records/items/gearhands/c033_hands.dbr;records/items/gearweapons/guns1h/c031_gun1h.dbr;records/items/gearweapons/guns1h/c032_gun1h.dbr
records/items/lootsets/itemset_c006.dbr|tagItemSetC006Name|records/items/gearhead/c017_head.dbr;records/items/geartorso/c017_torso.dbr;records/items/gearaccessories/necklaces/c015_necklace.dbr
records/items/lootsets/itemset_c006b.dbr|tagItemSetC006NameB|records/items/gearhead/c048_head.dbr;records/items/geartorso/c046_torso.dbr;records/items/gearaccessories/necklaces/c064_necklace.dbr
records/items/lootsets/itemset_c007.dbr|tagItemSetC007Name|records/items/gearhands/c013_hands.dbr;records/items/gearaccessories/rings/c012_ring.dbr;records/items/gearaccessories/medals/c011_medal.dbr;records/items/gearweapons/guns1h/c016_gun1h.dbr
records/items/lootsets/itemset_c007b.dbr|tagItemSetC007NameB|records/items/gearhands/c034_hands.dbr;records/items/gearaccessories/rings/c059_ring.dbr;records/items/gearaccessories/medals/c039_medal.dbr;records/items/gearweapons/guns1h/c033_gun1h.dbr
records/items/lootsets/itemset_c007c.dbr|tagItemSetC007CName|records/items/upgraded/gearhands/c034_hands.dbr;records/items/upgraded/gearaccessories/rings/c059_ring.dbr;records/items/upgraded/gearaccessories/medals/c039_medal.dbr;records/items/upgraded/gearweapons/guns1h/c033_gun1h.dbr
records/items/lootsets/itemset_c008.dbr|tagItemSetC008Name|records/items/gearhead/c018_head.dbr;records/items/geartorso/c018_torso.dbr;records/items/gearhands/c014_hands.dbr;records/items/gearshoulders/c010_shoulder.dbr;records/items/gearweapons/shields/c011_shield.dbr
records/items/lootsets/itemset_c008b.dbr|tagItemSetC008NameB|records/items/gearhead/c049_head.dbr;records/items/geartorso/c047_torso.dbr;records/items/gearhands/c035_hands.dbr;records/items/gearshoulders/c029_shoulder.dbr;records/items/gearweapons/shields/c029_shield.dbr
records/items/lootsets/itemset_c008c.dbr|tagItemSetC008CName|records/items/upgraded/gearhead/c049_head.dbr;records/items/upgraded/geartorso/c047_torso.dbr;records/items/upgraded/gearhands/c035_hands.dbr;records/items/upgraded/gearshoulders/c029_shoulder.dbr;records/items/upgraded/gearweapons/shields/c029_shield.dbr
records/items/lootsets/itemset_c009.dbr|tagItemSetC009Name|records/items/gearhead/c019_head.dbr;records/items/geartorso/c019_torso.dbr;records/items/gearaccessories/necklaces/c016_necklace.dbr;records/items/gearweapons/blunt1h/c011_blunt.dbr;records/items/gearweapons/swords1h/c014_sword.dbr
records/items/lootsets/itemset_c009b.dbr|tagItemSetC009BName|records/items/upgraded/gearhead/c019_head.dbr;records/items/upgraded/geartorso/c019_torso.dbr;records/items/upgraded/gearaccessories/necklaces/c016_necklace.dbr;records/items/upgraded/gearweapons/blunt1h/c011_blunt.dbr;records/items/upgraded/gearweapons/swords1h/c014_sword.dbr
records/items/lootsets/itemset_c010.dbr|tagItemSetC010Name|records/items/gearhead/c020_head.dbr;records/items/geartorso/c020_torso.dbr;records/items/gearaccessories/waist/c013_waist.dbr;records/items/gearweapons/guns2h/c020_gun2h.dbr
records/items/lootsets/itemset_c010b.dbr|tagItemSetC010BName|records/items/upgraded/gearhead/c020_head.dbr;records/items/upgraded/geartorso/c020_torso.dbr;records/items/upgraded/gearaccessories/waist/c013_waist.dbr;records/items/upgraded/gearweapons/guns2h/c020_gun2h.dbr
records/items/lootsets/itemset_c011.dbr|tagItemSetC011Name|records/items/gearhead/c021_head.dbr;records/items/gearshoulders/c012_shoulder.dbr;records/items/gearaccessories/medals/c012_medal.dbr;records/items/gearweapons/caster/c022_dagger.dbr;records/items/gearweapons/focus/c012_focus.dbr
records/items/lootsets/itemset_c011b.dbr|tagItemSetC011BName|records/items/upgraded/gearhead/c021_head.dbr;records/items/upgraded/gearshoulders/c012_shoulder.dbr;records/items/upgraded/gearaccessories/medals/c012_medal.dbr;records/items/upgraded/gearweapons/caster/c022_dagger.dbr;records/items/upgraded/gearweapons/focus/c012_focus.dbr
records/items/lootsets/itemset_c012.dbr|tagItemSetC012Name|records/items/gearaccessories/necklaces/c017_necklace.dbr;records/items/gearaccessories/rings/c013_ring.dbr;records/items/gearaccessories/rings/c014_ring.dbr
records/items/lootsets/itemset_c013.dbr|tagItemSetC013Name|records/items/gearweapons/guns1h/c017_gun1h.dbr;records/items/gearweapons/shields/c012_shield.dbr
records/items/lootsets/itemset_c013b.dbr|tagItemSetC013NameB|records/items/gearweapons/guns1h/c034_gun1h.dbr;records/items/gearweapons/shields/c030_shield.dbr
records/items/lootsets/itemset_c013c.dbr|tagItemSetC013CName|records/items/upgraded/gearweapons/guns1h/c034_gun1h.dbr;records/items/upgraded/gearweapons/shields/c030_shield.dbr
records/items/lootsets/itemset_c014.dbr|tagItemSetC014Name|records/items/gearaccessories/necklaces/c018_necklace.dbr;records/items/gearaccessories/medals/c013_medal.dbr;records/items/gearaccessories/rings/c015_ring.dbr;records/items/gearaccessories/rings/c016_ring.dbr
